Area,Age,Sex,Year,Value,Flags
Waipa District,50-54 years,Male,2013,1728,
Stratford District,10-14 years,Male,2013,318,
Invercargill City,60-64 years,Male,2013,1497,
Ruapehu District,100 years and over,Female,2013,0,
Albert-Eden Local Board Area,65-69 years,Female,2013,1458,
Lower Hutt City,35-39 years,Male,2013,3159,
Henderson-Massey Local Board Area,65-69 years,Female,2013,2013,
Buller District,40-44 years,Female,2013,396,
Queenstown-Lakes District,80-84 years,Female,2013,213,
Puketapapa Local Board Area,70-74 years,Male,2013,738,
Far North District,75-79 years,Male,2013,939,
Otorohanga District,85-89 years,Female,2013,45,
Auckland Region,70-74 years,Female,2013,21903,
Ruapehu District,30-34 years,Female,2013,363,
Westland District,85-89 years,Male,2013,42,
Hamilton City,35-39 years,Female,2013,4794,
Nelson Region,90-94 years,Female,2013,189,
Gisborne District,10-14 years,Male,2013,1842,
Tasman District,45-49 years,Female,2013,1992,
Orakei Local Board Area,25-29 years,Female,2013,2388,
Wanganui District,5-9 years,Female,2013,1347,
Great Barrier Local Board Area,10-14 years,Female,2013,15,
Opotiki District,100 years and over,Female,2013,0,
Howick Local Board Area,80-84 years,Male,2013,891,
Upper Harbour Local Board Area,65-69 years,Female,2013,972,
Tasman District,85-89 years,Male,2013,258,
Papakura Local Board Area,25-29 years,Female,2013,1653,
Whangarei District,45-49 years,Male,2013,2532,
Timaru District,95-99 years,Male,2013,21,
Orakei Local Board Area,40-44 years,Male,2013,2874,
Marlborough District,25-29 years,Male,2013,1281,
Whakatane District,10-14 years,Male,2013,1302,
Nelson City,55-59 years,Male,2013,1536,
Gisborne District,0-4 years,Male,2013,1761,
Central Otago District,60-64 years,Male,2013,801,
Upper Harbour Local Board Area,50-54 years,Female,2013,2028,
Wellington City,25-29 years,Male,2013,8256,
Tauranga City,25-29 years,Female,2013,3291,
Otorohanga District,75-79 years,Female,2013,102,
Taranaki Region,45-49 years,Male,2013,3714,
Wanganui District,75-79 years,Female,2013,891,
Waikato District,30-34 years,Male,2013,1611,
Hastings District,100 years and over,Female,2013,9,
Chatham Islands Territory,15-19 years,Male,2013,9,
Taupo District,20-24 years,Male,2013,1002,
South Waikato District,80-84 years,Male,2013,216,
Waimakariri District,5-9 years,Female,2013,1743,
Whau Local Board Area,25-29 years,Female,2013,2814,
Central Otago District,35-39 years,Female,2013,519,
Gisborne District,70-74 years,Female,2013,831,
Ashburton District,45-49 years,Male,2013,1086,
Waiheke Local Board Area,85-89 years,Male,2013,42,
Central Hawke's Bay District,45-49 years,Female,2013,453,
Gisborne Region,95-99 years,Male,2013,12,
Henderson-Massey Local Board Area,5-9 years,Male,2013,4077,
Whakatane District,80-84 years,Male,2013,309,
Hibiscus and Bays Local Board Area,100 years and over,Male,2013,3,
Thames-Coromandel District,75-79 years,Female,2013,648,
Waiheke Local Board Area,15-19 years,Male,2013,225,
Devonport-Takapuna Local Board Area,40-44 years,Male,2013,1929,
Horowhenua District,100 years and over,Male,2013,0,
Waikato Region,65-69 years,Male,2013,9942,
Nelson Region,85-89 years,Female,2013,501,
Hastings District,5-9 years,Female,2013,2694,
Rotorua District,30-34 years,Male,2013,1728,
Rangitikei District,75-79 years,Male,2013,249,
Hamilton City,70-74 years,Male,2013,1758,
Waimakariri District,100 years and over,Female,2013,6,
South Waikato District,50-54 years,Female,2013,801,
Lower Hutt City,40-44 years,Male,2013,3450,
Kaipara District,20-24 years,Male,2013,426,
Otara-Papatoetoe Local Board Area,10-14 years,Female,2013,3096,
Waikato Region,35-39 years,Female,2013,12858,
Ruapehu District,25-29 years,Female,2013,408,
Stratford District,70-74 years,Female,2013,177,
Whakatane District,0-4 years,Male,2013,1194,
Tasman District,55-59 years,Female,2013,1899,
Dunedin City,10-14 years,Male,2013,3537,
Grey District,35-39 years,Male,2013,345,
Howick Local Board Area,55-59 years,Female,2013,4185,
Whangarei District,55-59 years,Male,2013,2577,
Ashburton District,50-54 years,Male,2013,1074,
Queenstown-Lakes District,0-4 years,Female,2013,1038,
Waikato District,35-39 years,Male,2013,1953,
Ashburton District,10-14 years,Female,2013,933,
Whangarei District,15-19 years,Female,2013,2379,
Puketapapa Local Board Area,40-44 years,Female,2013,1920,
Palmerston North City,15-19 years,Female,2013,3513,
Upper Harbour Local Board Area,75-79 years,Male,2013,450,
New Plymouth District,30-34 years,Female,2013,2100,
Opotiki District,0-4 years,Female,2013,279,
Westland District,5-9 years,Male,2013,258,
Franklin Local Board Area,90-94 years,Female,2013,153,
Manawatu-Wanganui Region,5-9 years,Female,2013,7389,
Central Otago District,30-34 years,Female,2013,474,
Buller District,25-29 years,Female,2013,276,
Dunedin City,90-94 years,Male,2013,195,
Hamilton City,60-64 years,Male,2013,3039,
Auckland Region,5-9 years,Male,2013,50043,
Auckland Region,20-24 years,Male,2013,55218,
Waipa District,95-99 years,Female,2013,51,
Southland Region,65-69 years,Male,2013,2508,
Howick Local Board Area,0-4 years,Male,2013,4044,
South Taranaki District,70-74 years,Male,2013,459,
Invercargill City,35-39 years,Female,2013,1659,
Buller District,65-69 years,Male,2013,372,
"Total, Territorial Authority areas",35-39 years,Male,2013,129597,
Auckland Region,100 years and over,Male,2013,24,
Hibiscus and Bays Local Board Area,25-29 years,Male,2013,1800,
New Plymouth District,100 years and over,Female,2013,12,
Otara-Papatoetoe Local Board Area,80-84 years,Female,2013,468,
New Plymouth District,20-24 years,Female,2013,1983,
Southland District,25-29 years,Male,2013,1077,
Waimate District,25-29 years,Female,2013,132,
Tauranga City,60-64 years,Male,2013,3078,
Canterbury Region,30-34 years,Male,2013,15921,
Rangitikei District,5-9 years,Male,2013,504,
Far North District,45-49 years,Female,2013,2193,
Auckland,70-74 years,Male,2013,19848,
Great Barrier Local Board Area,100 years and over,Female,2013,0,
Dunedin City,80-84 years,Male,2013,1167,
Horowhenua District,30-34 years,Female,2013,660,
Manawatu-Wanganui Region,75-79 years,Female,2013,3729,
Whakatane District,70-74 years,Female,2013,717,
Marlborough Region,95-99 years,Male,2013,15,
Hastings District,45-49 years,Male,2013,2652,
Rangitikei District,85-89 years,Male,2013,69,
Whakatane District,55-59 years,Female,2013,1218,
Palmerston North City,85-89 years,Female,2013,624,
Upper Harbour Local Board Area,5-9 years,Male,2013,1770,
Kapiti Coast District,95-99 years,Female,2013,84,
Matamata-Piako District,20-24 years,Male,2013,906,
Masterton District,0-4 years,Male,2013,789,
Tauranga City,0-4 years,Female,2013,3861,
Mangere-Otahuhu Local Board Area,55-59 years,Male,2013,1659,
Howick Local Board Area,45-49 years,Female,2013,5316,
Waitemata Local Board Area,75-79 years,Male,2013,450,
Upper Hutt City,60-64 years,Male,2013,1023,
Great Barrier Local Board Area,5-9 years,Female,2013,39,
Marlborough District,20-24 years,Male,2013,1248,
Tasman District,80-84 years,Male,2013,495,
Albert-Eden Local Board Area,10-14 years,Male,2013,3219,
Porirua City,75-79 years,Female,2013,453,
Tauranga City,20-24 years,Female,2013,3183,
Invercargill City,40-44 years,Female,2013,1827,
Matamata-Piako District,60-64 years,Female,2013,885,
Puketapapa Local Board Area,65-69 years,Male,2013,867,
Dunedin City,55-59 years,Female,2013,4086,
Otorohanga District,80-84 years,Female,2013,66,
Whakatane District,85-89 years,Male,2013,144,
Auckland Region,65-69 years,Female,2013,29379,
Gisborne District,5-9 years,Male,2013,1902,
Timaru District,75-79 years,Female,2013,924,
Albert-Eden Local Board Area,25-29 years,Male,2013,4068,
Dunedin City,95-99 years,Male,2013,30,
Hamilton City,40-44 years,Female,2013,5037,
Orakei Local Board Area,20-24 years,Female,2013,2532,
Grey District,100 years and over,Female,2013,0,
Waiheke Local Board Area,10-14 years,Male,2013,231,
Whangarei District,95-99 years,Female,2013,66,
Horowhenua District,60-64 years,Male,2013,924,
Taupo District,25-29 years,Male,2013,966,
Whau Local Board Area,20-24 years,Female,2013,2847,
Kawerau District,55-59 years,Male,2013,177,
Wellington City,65-69 years,Female,2013,3495,
Central Hawke's Bay District,80-84 years,Male,2013,129,
Tauranga City,30-34 years,Female,2013,3375,
Northland Region,95-99 years,Female,2013,111,
Bay of Plenty Region,40-44 years,Male,2013,8592,
Nelson Region,95-99 years,Female,2013,51,
Rangitikei District,50-54 years,Female,2013,531,
Henderson-Massey Local Board Area,0-4 years,Male,2013,4872,
Rangitikei District,90-94 years,Male,2013,18,
South Wairarapa District,85-89 years,Female,2013,69,
South Waikato District,75-79 years,Male,2013,327,
Horowhenua District,35-39 years,Female,2013,774,
Waikato Region,30-34 years,Female,2013,12318,
South Taranaki District,50-54 years,Male,2013,933,
Upper Harbour Local Board Area,25-29 years,Male,2013,1944,
Porirua City,40-44 years,Female,2013,2148,
Stratford District,15-19 years,Male,2013,294,
Henderson-Massey Local Board Area,70-74 years,Female,2013,1551,
Taranaki Region,50-54 years,Male,2013,3921,
Hastings District,10-14 years,Female,2013,2925,
Waitakere Ranges Local Board Area,20-24 years,Male,2013,1452,
Franklin Local Board Area,75-79 years,Male,2013,738,
Waitomo District,55-59 years,Male,2013,312,
Buller District,35-39 years,Female,2013,309,
Area Outside Region,75-79 years,Female,2013,6,
Albert-Eden Local Board Area,70-74 years,Female,2013,1101,
Christchurch City,10-14 years,Male,2013,10221,
Wellington City,20-24 years,Male,2013,9729,
Invercargill City,65-69 years,Male,2013,1215,
Marlborough District,30-34 years,Male,2013,1173,
Kaipatiki Local Board Area,50-54 years,Male,2013,2436,
Hibiscus and Bays Local Board Area,35-39 years,Male,2013,2361,
Stratford District,100 years and over,Male,2013,0,
Central Otago District,65-69 years,Male,2013,732,
Stratford District,30-34 years,Male,2013,261,
Ashburton District,15-19 years,Female,2013,798,
Southland District,35-39 years,Male,2013,1074,
Rodney Local Board Area,25-29 years,Female,2013,1206,
Queenstown-Lakes District,85-89 years,Female,2013,102,
Napier City,15-19 years,Male,2013,2019,
Westland District,90-94 years,Male,2013,12,
Waikato Region,95-99 years,Female,2013,300,
Auckland Region,55-59 years,Male,2013,38670,
Thames-Coromandel District,35-39 years,Female,2013,744,
Napier City,55-59 years,Female,2013,1947,
Tasman District,50-54 years,Female,2013,2085,
Grey District,40-44 years,Male,2013,492,
Invercargill City,70-74 years,Male,2013,933,
Gisborne District,100 years and over,Male,2013,0,
Howick Local Board Area,75-79 years,Male,2013,1314,
Taranaki Region,15-19 years,Female,2013,3321,
Kaipara District,25-29 years,Male,2013,357,
Central Otago District,25-29 years,Female,2013,429,
"Total, Territorial Authority areas",30-34 years,Male,2013,126816,
Howick Local Board Area,5-9 years,Male,2013,4350,
Waitemata Local Board Area,45-49 years,Female,2013,2505,
Kaipatiki Local Board Area,55-59 years,Male,2013,2064,
Otara-Papatoetoe Local Board Area,5-9 years,Female,2013,3099,
New Plymouth District,25-29 years,Female,2013,2097,
Westland District,80-84 years,Male,2013,66,
Westland District,55-59 years,Female,2013,438,
Hamilton City,65-69 years,Male,2013,2451,
Rangitikei District,80-84 years,Male,2013,135,
Opotiki District,70-74 years,Male,2013,198,
Wanganui District,0-4 years,Female,2013,1392,
South Waikato District,45-49 years,Female,2013,753,
Hawke's Bay Region,45-49 years,Female,2013,5532,
Invercargill City,30-34 years,Female,2013,1638,
Waiheke Local Board Area,90-94 years,Male,2013,21,
Mangere-Otahuhu Local Board Area,50-54 years,Male,2013,2007,
Whakatane District,5-9 years,Male,2013,1344,
Otara-Papatoetoe Local Board Area,85-89 years,Female,2013,255,
Upper Harbour Local Board Area,10-14 years,Male,2013,1914,
Marlborough District,35-39 years,Male,2013,1308,
Canterbury Region,25-29 years,Male,2013,17283,
Christchurch City,5-9 years,Male,2013,10119,
Ruapehu District,60-64 years,Male,2013,429,
Palmerston North City,80-84 years,Female,2013,906,
Southland Region,35-39 years,Female,2013,3045,
Horowhenua District,65-69 years,Male,2013,1068,
Rotorua District,35-39 years,Male,2013,1983,
Tasman District,5-9 years,Male,2013,1707,
Central Hawke's Bay District,50-54 years,Female,2013,504,
Taupo District,30-34 years,Male,2013,1035,
Palmerston North City,90-94 years,Female,2013,255,
Palmerston North City,10-14 years,Female,2013,2496,
Waimate District,30-34 years,Female,2013,174,
Ruapehu District,20-24 years,Female,2013,411,
Timaru District,0-4 years,Female,2013,1188,
Upper Harbour Local Board Area,0-4 years,Male,2013,1710,
Buller District,60-64 years,Male,2013,438,
Waimate District,100 years and over,Female,2013,0,
Whangarei District,50-54 years,Male,2013,2655,
Albert-Eden Local Board Area,100 years and over,Male,2013,3,
Manawatu-Wanganui Region,80-84 years,Female,2013,2907,
Westland District,10-14 years,Male,2013,282,
Manawatu-Wanganui Region,0-4 years,Female,2013,7578,
Central Hawke's Bay District,75-79 years,Male,2013,180,
Grey District,80-84 years,Female,2013,156,
Otara-Papatoetoe Local Board Area,75-79 years,Female,2013,678,
Napier City,95-99 years,Male,2013,18,
Gisborne Region,15-19 years,Male,2013,1518,
Tasman District,75-79 years,Male,2013,783,
Dunedin City,85-89 years,Male,2013,660,
Taupo District,100 years and over,Male,2013,0,
Hawke's Bay Region,0-4 years,Male,2013,5490,
Area Outside Region,80-84 years,Female,2013,6,
Queenstown-Lakes District,5-9 years,Female,2013,900,
South Waikato District,0-4 years,Male,2013,900,
Franklin Local Board Area,95-99 years,Female,2013,36,
Howick Local Board Area,50-54 years,Female,2013,4779,
Southland Region,60-64 years,Male,2013,3027,
Southland Region,90-94 years,Female,2013,327,
Napier City,35-39 years,Female,2013,1842,
Taranaki Region,65-69 years,Female,2013,2811,
Upper Harbour Local Board Area,90-94 years,Female,2013,168,
Central Otago District,80-84 years,Female,2013,231,
"Total, Territorial Authority areas",85-89 years,Male,2013,19209,
Waitomo District,65-69 years,Female,2013,207,
Papakura Local Board Area,10-14 years,Male,2013,1626,
Puketapapa Local Board Area,45-49 years,Male,2013,1707,
Clutha District,0-4 years,Male,2013,531,
Manurewa Local Board Area,40-44 years,Female,2013,2955,
West Coast Region,85-89 years,Male,2013,168,
Kapiti Coast District,25-29 years,Male,2013,711,
Hawke's Bay Region,70-74 years,Female,2013,3276,
Rangitikei District,10-14 years,Male,2013,540,
South Taranaki District,95-99 years,Female,2013,15,
Upper Hutt City,10-14 years,Female,2013,1350,
Gore District,25-29 years,Female,2013,264,
Rodney Local Board Area,55-59 years,Female,2013,1947,
Thames-Coromandel District,60-64 years,Male,2013,1344,
Waitemata Local Board Area,0-4 years,Male,2013,1644,
Gisborne District,25-29 years,Female,2013,1272,
Invercargill City,100 years and over,Female,2013,12,
Masterton District,35-39 years,Male,2013,564,
Whangarei District,60-64 years,Female,2013,2535,
Stratford District,55-59 years,Male,2013,291,
Otago Region,80-84 years,Female,2013,2604,
Buller District,5-9 years,Female,2013,324,
Selwyn District,60-64 years,Female,2013,1287,
Chatham Islands Territory,10-14 years,Male,2013,9,
South Wairarapa District,45-49 years,Male,2013,342,
Upper Hutt City,90-94 years,Female,2013,156,
Maungakiekie-Tamaki Local Board Area,35-39 years,Female,2013,2853,
West Coast Region,0-4 years,Female,2013,1098,
Waikato Region,85-89 years,Female,2013,2679,
Western Bay of Plenty District,85-89 years,Female,2013,315,
Wellington Region,20-24 years,Female,2013,19005,
Horowhenua District,25-29 years,Female,2013,612,
Grey District,95-99 years,Male,2013,6,
Puketapapa Local Board Area,35-39 years,Female,2013,1752,
Central Hawke's Bay District,65-69 years,Female,2013,366,
Hastings District,65-69 years,Male,2013,1821,
Opotiki District,20-24 years,Female,2013,201,
Gisborne Region,65-69 years,Male,2013,1011,
Kaikoura District,90-94 years,Female,2013,9,
Auckland Region,45-49 years,Male,2013,49479,
Hibiscus and Bays Local Board Area,5-9 years,Male,2013,2850,
Timaru District,40-44 years,Female,2013,1554,
Waiheke Local Board Area,100 years and over,Female,2013,0,
Area outside territorial authority,70-74 years,Male,2013,27,
Gisborne Region,40-44 years,Female,2013,1584,
Marlborough District,50-54 years,Female,2013,1869,
Waikato Region,100 years and over,Female,2013,42,
Upper Harbour Local Board Area,70-74 years,Female,2013,705,
Tararua District,70-74 years,Male,2013,345,
Whakatane District,50-54 years,Female,2013,1248,
Waitaki District,55-59 years,Male,2013,816,
Southland District,5-9 years,Male,2013,1152,
Grey District,15-19 years,Male,2013,447,
Taranaki Region,85-89 years,Female,2013,993,
Otago Region,10-14 years,Female,2013,5877,
Albert-Eden Local Board Area,45-49 years,Female,2013,3900,
Central Hawke's Bay District,5-9 years,Male,2013,441,
Waimakariri District,35-39 years,Female,2013,1557,
Ruapehu District,75-79 years,Female,2013,144,
Tasman District,100 years and over,Female,2013,3,
South Wairarapa District,60-64 years,Male,2013,381,
Franklin Local Board Area,50-54 years,Female,2013,2640,
Carterton District,100 years and over,Male,2013,0,
Devonport-Takapuna Local Board Area,65-69 years,Male,2013,1317,
Waitomo District,5-9 years,Male,2013,381,
Papakura Local Board Area,20-24 years,Female,2013,1746,
Henderson-Massey Local Board Area,35-39 years,Male,2013,3633,
Mangere-Otahuhu Local Board Area,100 years and over,Male,2013,0,
Hauraki District,20-24 years,Female,2013,420,
Auckland Region,25-29 years,Male,2013,49089,
South Taranaki District,35-39 years,Female,2013,798,
Central Hawke's Bay District,100 years and over,Male,2013,0,
Clutha District,35-39 years,Male,2013,537,
Henderson-Massey Local Board Area,75-79 years,Male,2013,966,
South Wairarapa District,90-94 years,Female,2013,33,
South Wairarapa District,10-14 years,Female,2013,273,
West Coast Region,50-54 years,Female,2013,1524,
Marlborough Region,0-4 years,Female,2013,1368,
Tararua District,20-24 years,Female,2013,396,
Chatham Islands Territory,85-89 years,Male,2013,3,
Nelson Region,45-49 years,Female,2013,1878,
Stratford District,35-39 years,Male,2013,243,
Tasman Region,5-9 years,Male,2013,1707,
Franklin Local Board Area,20-24 years,Male,2013,1656,
Marlborough Region,30-34 years,Female,2013,1290,
Kapiti Coast District,80-84 years,Male,2013,843,
Upper Hutt City,80-84 years,Female,2013,492,
Whau Local Board Area,80-84 years,Male,2013,534,
Taranaki Region,5-9 years,Male,2013,3909,
Dunedin City,15-19 years,Male,2013,6267,
Carterton District,20-24 years,Male,2013,162,
Taupo District,60-64 years,Female,2013,1221,
Kaipatiki Local Board Area,75-79 years,Female,2013,855,
Hawke's Bay Region,40-44 years,Male,2013,5031,
Kaipara District,90-94 years,Female,2013,57,
Whau Local Board Area,15-19 years,Male,2013,2658,
Porirua City,10-14 years,Female,2013,1875,
Albert-Eden Local Board Area,75-79 years,Male,2013,657,
Devonport-Takapuna Local Board Area,95-99 years,Male,2013,27,
Wellington Region,70-74 years,Male,2013,7347,
Upper Hutt City,30-34 years,Female,2013,1212,
Whau Local Board Area,50-54 years,Female,2013,2457,
Clutha District,10-14 years,Male,2013,651,
Waiheke Local Board Area,30-34 years,Female,2013,222,
Porirua City,90-94 years,Female,2013,84,
Far North District,20-24 years,Male,2013,1320,
Waitomo District,90-94 years,Female,2013,27,
Great Barrier Local Board Area,95-99 years,Male,2013,0,
Gisborne District,35-39 years,Male,2013,1224,
Invercargill City,95-99 years,Male,2013,18,
Tasman Region,20-24 years,Male,2013,1272,
Tararua District,90-94 years,Female,2013,69,
Taupo District,65-69 years,Female,2013,1077,
Mangere-Otahuhu Local Board Area,25-29 years,Male,2013,2262,
Wellington Region,95-99 years,Male,2013,111,
Marlborough Region,55-59 years,Male,2013,1665,
Hibiscus and Bays Local Board Area,40-44 years,Male,2013,3228,
Gore District,60-64 years,Male,2013,390,
Kawerau District,65-69 years,Female,2013,189,
Waikato District,80-84 years,Male,2013,393,
Porirua City,80-84 years,Female,2013,339,
Manurewa Local Board Area,25-29 years,Female,2013,3141,
Gisborne Region,30-34 years,Female,2013,1275,
Kaipatiki Local Board Area,0-4 years,Female,2013,3090,
Manawatu District,10-14 years,Male,2013,1092,
Wanganui District,30-34 years,Female,2013,1023,
Waitomo District,10-14 years,Male,2013,351,
Waitakere Ranges Local Board Area,30-34 years,Male,2013,1440,
Opotiki District,25-29 years,Female,2013,222,
Bay of Plenty Region,75-79 years,Male,2013,4047,
Kawerau District,75-79 years,Female,2013,93,
Papakura Local Board Area,85-89 years,Male,2013,174,
Ruapehu District,0-4 years,Female,2013,489,
Christchurch City,85-89 years,Male,2013,1878,
Waimate District,70-74 years,Male,2013,237,
Hawke's Bay Region,100 years and over,Male,2013,9,
Tasman Region,50-54 years,Female,2013,2085,
New Plymouth District,80-84 years,Male,2013,780,
Kapiti Coast District,85-89 years,Male,2013,483,
Franklin Local Board Area,50-54 years,Male,2013,2532,
Kaipatiki Local Board Area,45-49 years,Male,2013,2688,
Northland Region,55-59 years,Male,2013,5445,
Clutha District,75-79 years,Male,2013,228,
Maungakiekie-Tamaki Local Board Area,70-74 years,Male,2013,798,
South Waikato District,0-4 years,Female,2013,885,
Marlborough District,60-64 years,Female,2013,1755,
Ashburton District,80-84 years,Female,2013,441,
Invercargill City,15-19 years,Male,2013,1788,
Whakatane District,95-99 years,Female,2013,21,
Southland Region,80-84 years,Female,2013,1155,
Nelson Region,75-79 years,Male,2013,663,
Thames-Coromandel District,40-44 years,Female,2013,903,
Upper Hutt City,100 years and over,Female,2013,6,
Napier City,65-69 years,Male,2013,1617,
West Coast Region,95-99 years,Male,2013,6,
Christchurch City,60-64 years,Male,2013,9549,
Auckland,90-94 years,Female,2013,3828,
Marlborough Region,45-49 years,Male,2013,1503,
Waimate District,15-19 years,Male,2013,240,
New Plymouth District,55-59 years,Female,2013,2598,
New Plymouth District,70-74 years,Female,2013,1470,
Christchurch City,20-24 years,Female,2013,13323,
Canterbury Region,50-54 years,Female,2013,20556,
Hibiscus and Bays Local Board Area,70-74 years,Female,2013,2091,
Southland District,70-74 years,Female,2013,603,
Kaikoura District,35-39 years,Male,2013,114,
Upper Hutt City,5-9 years,Female,2013,1275,
Gore District,85-89 years,Female,2013,126,
Grey District,75-79 years,Male,2013,195,
Hibiscus and Bays Local Board Area,0-4 years,Male,2013,2637,
Waimate District,80-84 years,Female,2013,117,
Hibiscus and Bays Local Board Area,80-84 years,Male,2013,993,
Hauraki District,40-44 years,Male,2013,540,
South Taranaki District,75-79 years,Female,2013,381,
Marlborough Region,65-69 years,Male,2013,1638,
Waitaki District,50-54 years,Male,2013,846,
Otorohanga District,45-49 years,Male,2013,348,
Upper Hutt City,75-79 years,Female,2013,582,
Waitakere Ranges Local Board Area,100 years and over,Male,2013,0,
Kapiti Coast District,45-49 years,Female,2013,1905,
Kapiti Coast District,20-24 years,Male,2013,987,
Clutha District,5-9 years,Male,2013,615,
Porirua City,55-59 years,Male,2013,1491,
Henderson-Massey Local Board Area,40-44 years,Male,2013,3762,
Waiheke Local Board Area,35-39 years,Female,2013,318,
Ashburton District,65-69 years,Female,2013,801,
Matamata-Piako District,95-99 years,Female,2013,33,
South Wairarapa District,30-34 years,Female,2013,237,
Kaikoura District,85-89 years,Female,2013,30,
Buller District,10-14 years,Female,2013,297,
Waiheke Local Board Area,60-64 years,Male,2013,360,
Whau Local Board Area,75-79 years,Male,2013,795,
Hauraki District,0-4 years,Female,2013,591,
South Taranaki District,80-84 years,Female,2013,255,
Waimate District,85-89 years,Male,2013,60,
Tararua District,30-34 years,Female,2013,414,
Papakura Local Board Area,65-69 years,Female,2013,849,
Whangarei District,5-9 years,Male,2013,2859,
Bay of Plenty Region,95-99 years,Male,2013,78,
Kapiti Coast District,65-69 years,Female,2013,1845,
Area Outside Region,10-14 years,Female,2013,9,
Hurunui District,80-84 years,Female,2013,99,
Tasman District,20-24 years,Female,2013,1149,
Tasman District,5-9 years,Female,2013,1674,
Hamilton City,20-24 years,Male,2013,6675,
Wairoa District,35-39 years,Male,2013,207,
Canterbury Region,75-79 years,Male,2013,7008,
Whau Local Board Area,10-14 years,Male,2013,2247,
Mackenzie District,10-14 years,Female,2013,174,
Clutha District,95-99 years,Male,2013,0,
Clutha District,15-19 years,Male,2013,564,
Waitomo District,95-99 years,Female,2013,0,
Timaru District,70-74 years,Male,2013,1053,
Franklin Local Board Area,80-84 years,Male,2013,477,
Hamilton City,85-89 years,Female,2013,867,
Chatham Islands Territory,40-44 years,Male,2013,24,
Opotiki District,30-34 years,Female,2013,201,
Horowhenua District,20-24 years,Female,2013,729,
Western Bay of Plenty District,50-54 years,Male,2013,1665,
Hamilton City,75-79 years,Female,2013,1599,
Taranaki Region,100 years and over,Male,2013,3,
Tasman Region,100 years and over,Male,2013,3,
New Plymouth District,10-14 years,Male,2013,2646,
Waikato Region,95-99 years,Male,2013,102,
South Waikato District,10-14 years,Male,2013,867,
Rangitikei District,15-19 years,Male,2013,417,
Southland Region,90-94 years,Male,2013,138,
Auckland Region,45-49 years,Female,2013,53997,
Christchurch City,75-79 years,Male,2013,4134,
Lower Hutt City,70-74 years,Female,2013,1686,
Waimate District,60-64 years,Male,2013,264,
Gisborne Region,80-84 years,Male,2013,378,
Auckland,75-79 years,Female,2013,15300,
Thames-Coromandel District,50-54 years,Male,2013,978,
Waikato District,55-59 years,Female,2013,2106,
Chatham Islands Territory,50-54 years,Female,2013,36,
Taranaki Region,90-94 years,Female,2013,435,
Hibiscus and Bays Local Board Area,10-14 years,Male,2013,3225,
Nelson Region,55-59 years,Male,2013,1539,
Gisborne District,50-54 years,Female,2013,1629,
Manurewa Local Board Area,60-64 years,Male,2013,1569,
Gisborne Region,70-74 years,Male,2013,729,
Hastings District,60-64 years,Female,2013,2259,
Nelson City,100 years and over,Male,2013,3,
Otorohanga District,25-29 years,Female,2013,273,
Nelson City,15-19 years,Male,2013,1554,
Wanganui District,100 years and over,Female,2013,6,
Gisborne Region,40-44 years,Male,2013,1332,
Thames-Coromandel District,85-89 years,Female,2013,303,
Stratford District,0-4 years,Male,2013,348,
Western Bay of Plenty District,95-99 years,Female,2013,36,
Whau Local Board Area,65-69 years,Female,2013,1404,
Rangitikei District,100 years and over,Female,2013,3,
Mangere-Otahuhu Local Board Area,5-9 years,Male,2013,3300,
Nelson City,85-89 years,Male,2013,318,
Hamilton City,95-99 years,Female,2013,105,
Central Otago District,100 years and over,Female,2013,0,
Nelson Region,15-19 years,Female,2013,1536,
Rotorua District,100 years and over,Male,2013,0,
Otago Region,70-74 years,Male,2013,4440,
Taupo District,55-59 years,Male,2013,1194,
"Total, Territorial Authority areas",50-54 years,Female,2013,158769,
Tararua District,100 years and over,Female,2013,6,
Grey District,40-44 years,Female,2013,525,
Rangitikei District,5-9 years,Female,2013,492,
Hauraki District,95-99 years,Male,2013,6,
Kaipara District,95-99 years,Female,2013,6,
Westland District,45-49 years,Female,2013,417,
Wairoa District,60-64 years,Female,2013,276,
Whakatane District,55-59 years,Male,2013,1071,
Kaipara District,45-49 years,Female,2013,690,
Dunedin City,100 years and over,Female,2013,15,
Hurunui District,85-89 years,Female,2013,87,
Manawatu District,15-19 years,Male,2013,999,
Southland District,60-64 years,Female,2013,1053,
Papakura Local Board Area,70-74 years,Female,2013,678,
Canterbury Region,55-59 years,Female,2013,18210,
Manurewa Local Board Area,20-24 years,Female,2013,3474,
Timaru District,50-54 years,Male,2013,1692,
South Wairarapa District,35-39 years,Female,2013,309,
Ashburton District,70-74 years,Female,2013,675,
Southland Region,85-89 years,Female,2013,738,
Mangere-Otahuhu Local Board Area,70-74 years,Female,2013,849,
Waitomo District,100 years and over,Male,2013,3,
Timaru District,65-69 years,Male,2013,1296,
Mangere-Otahuhu Local Board Area,10-14 years,Male,2013,3213,
Tasman Region,55-59 years,Female,2013,1899,
Hauraki District,85-89 years,Male,2013,108,
Hawke's Bay Region,65-69 years,Female,2013,4266,
Clutha District,65-69 years,Female,2013,465,
Kawerau District,80-84 years,Female,2013,69,
Waitemata Local Board Area,65-69 years,Female,2013,1311,
Devonport-Takapuna Local Board Area,10-14 years,Male,2013,1941,
Albert-Eden Local Board Area,5-9 years,Male,2013,2937,
Waimakariri District,60-64 years,Male,2013,1653,
New Plymouth District,85-89 years,Male,2013,444,
Chatham Islands Territory,45-49 years,Female,2013,21,
