Area,Age,Sex,Year,Value,Flags
Nelson Region,35-39 years,Male,2013,1347,
Area outside territorial authority,100 years and over,Male,2013,3,
Mackenzie District,65-69 years,Male,2013,228,
Hawke's Bay Region,50-54 years,Female,2013,5874,
West Coast Region,60-64 years,Male,2013,1386,
Wairoa District,75-79 years,Male,2013,114,
Kaikoura District,65-69 years,Female,2013,192,
Rotorua District,0-4 years,Female,2013,2442,
Maungakiekie-Tamaki Local Board Area,25-29 years,Female,2013,3150,
Taupo District,45-49 years,Female,2013,1209,
Henderson-Massey Local Board Area,20-24 years,Female,2013,3933,
Hauraki District,35-39 years,Female,2013,489,
Selwyn District,50-54 years,Female,2013,1692,
Kaikoura District,75-79 years,Male,2013,72,
Wellington City,70-74 years,Female,2013,2415,
Kawerau District,65-69 years,Male,2013,171,
South Taranaki District,60-64 years,Female,2013,705,
Queenstown-Lakes District,90-94 years,Female,2013,66,
Devonport-Takapuna Local Board Area,80-84 years,Female,2013,726,
Manawatu-Wanganui Region,90-94 years,Female,2013,801,
Southland Region,70-74 years,Male,2013,1893,
Napier City,75-79 years,Female,2013,1047,
Chatham Islands Territory,100 years and over,Male,2013,0,
Rodney Local Board Area,45-49 years,Male,2013,2256,
Nelson Region,25-29 years,Male,2013,1242,
Waipa District,10-14 years,Female,2013,1875,
South Wairarapa District,95-99 years,Male,2013,0,
Westland District,100 years and over,Male,2013,3,
Area outside territorial authority,65-69 years,Female,2013,24,
Kaipatiki Local Board Area,60-64 years,Male,2013,1848,
Otara-Papatoetoe Local Board Area,20-24 years,Male,2013,3339,
Lower Hutt City,20-24 years,Female,2013,3273,
Hawke's Bay Region,85-89 years,Male,2013,804,
Kaikoura District,5-9 years,Male,2013,108,
Stratford District,25-29 years,Male,2013,258,
Northland Region,45-49 years,Male,2013,5040,
Rodney Local Board Area,60-64 years,Male,2013,1830,
Kapiti Coast District,35-39 years,Male,2013,1119,
Franklin Local Board Area,40-44 years,Male,2013,2466,
Central Otago District,45-49 years,Male,2013,612,
Masterton District,75-79 years,Male,2013,378,
Upper Hutt City,65-69 years,Male,2013,858,
Otara-Papatoetoe Local Board Area,95-99 years,Female,2013,21,
Westland District,60-64 years,Female,2013,447,
Wellington City,10-14 years,Male,2013,5292,
Kaipara District,70-74 years,Female,2013,525,
Wairoa District,45-49 years,Female,2013,243,
Far North District,50-54 years,Female,2013,2424,
Waitaki District,65-69 years,Female,2013,765,
Hurunui District,55-59 years,Male,2013,465,
Hurunui District,70-74 years,Male,2013,333,
Matamata-Piako District,65-69 years,Female,2013,807,
Wanganui District,85-89 years,Female,2013,498,
West Coast Region,30-34 years,Female,2013,1041,
Opotiki District,85-89 years,Female,2013,48,
Timaru District,80-84 years,Female,2013,744,
Palmerston North City,25-29 years,Male,2013,2697,
Wellington Region,75-79 years,Female,2013,5940,
Opotiki District,90-94 years,Male,2013,12,
"Total, Territorial Authority areas",40-44 years,Male,2013,146811,
Gisborne Region,80-84 years,Female,2013,483,
Devonport-Takapuna Local Board Area,10-14 years,Female,2013,1704,
Selwyn District,75-79 years,Male,2013,399,
Whau Local Board Area,40-44 years,Male,2013,2499,
Area outside territorial authority,5-9 years,Male,2013,9,
Upper Hutt City,40-44 years,Female,2013,1677,
Waimakariri District,45-49 years,Male,2013,1995,
Chatham Islands Territory,30-34 years,Male,2013,21,
Western Bay of Plenty District,0-4 years,Male,2013,1407,
Northland Region,90-94 years,Female,2013,504,
Waimate District,20-24 years,Female,2013,159,
Wellington Region,50-54 years,Female,2013,17451,
Otago Region,65-69 years,Female,2013,6039,
Albert-Eden Local Board Area,20-24 years,Male,2013,4470,
Carterton District,55-59 years,Male,2013,309,
Area Outside Region,15-19 years,Male,2013,9,
Manurewa Local Board Area,90-94 years,Male,2013,48,
Hauraki District,60-64 years,Male,2013,612,
Porirua City,60-64 years,Female,2013,1389,
Carterton District,15-19 years,Female,2013,264,
Area outside territorial authority,20-24 years,Male,2013,45,
Franklin Local Board Area,30-34 years,Male,2013,1401,
Wanganui District,40-44 years,Female,2013,1407,
Mackenzie District,45-49 years,Male,2013,198,
Manawatu-Wanganui Region,10-14 years,Female,2013,7539,
Howick Local Board Area,90-94 years,Male,2013,135,
Hastings District,95-99 years,Female,2013,57,
Rodney Local Board Area,35-39 years,Female,2013,1683,
Grey District,10-14 years,Female,2013,447,
Tararua District,90-94 years,Male,2013,33,
Otago Region,60-64 years,Female,2013,7140,
Southland District,95-99 years,Female,2013,9,
South Waikato District,55-59 years,Female,2013,666,
Waikato Region,40-44 years,Female,2013,14883,
Maungakiekie-Tamaki Local Board Area,80-84 years,Female,2013,549,
Waikato District,40-44 years,Male,2013,2403,
Great Barrier Local Board Area,45-49 years,Male,2013,36,
Kaipara District,10-14 years,Male,2013,654,
Devonport-Takapuna Local Board Area,0-4 years,Female,2013,1653,
Western Bay of Plenty District,65-69 years,Female,2013,1434,
West Coast Region,65-69 years,Male,2013,1212,
Otorohanga District,0-4 years,Female,2013,381,
New Plymouth District,40-44 years,Male,2013,2517,
Otorohanga District,15-19 years,Male,2013,348,
Buller District,55-59 years,Male,2013,486,
Gisborne District,85-89 years,Male,2013,168,
Henderson-Massey Local Board Area,90-94 years,Male,2013,90,
Westland District,0-4 years,Male,2013,270,
Westland District,70-74 years,Female,2013,267,
Otago Region,100 years and over,Male,2013,9,
Horowhenua District,45-49 years,Female,2013,1089,
Henderson-Massey Local Board Area,10-14 years,Male,2013,3774,
Ruapehu District,45-49 years,Male,2013,438,
Mackenzie District,70-74 years,Male,2013,147,
Carterton District,50-54 years,Male,2013,312,
Henderson-Massey Local Board Area,80-84 years,Male,2013,657,
Upper Hutt City,35-39 years,Female,2013,1368,
Kaipatiki Local Board Area,30-34 years,Female,2013,3660,
Waiheke Local Board Area,75-79 years,Female,2013,93,
Masterton District,50-54 years,Female,2013,897,
Kaikoura District,60-64 years,Female,2013,204,
Waimakariri District,10-14 years,Female,2013,1779,
