Area,Highest qualification,Age group,Sex,Value,Flags
Area Outside Region,Bachelor degree and level 7 qualification,25-29 years,Female,,c
Area Outside Region,Post-graduate and honours degrees,25-29 years,Male,,c
Area Outside Region,Post-graduate and honours degrees,25-29 years,Female,,c
Area Outside Region,Masters degree,25-29 years,Male,,c
Area Outside Region,Masters degree,25-29 years,Female,,c
Area Outside Region,Doctorate degree,25-29 years,Male,,c
Area Outside Region,Doctorate degree,25-29 years,Female,,c
Area Outside Region,Overseas secondary school qualification,25-29 years,Male,,c
Area Outside Region,Overseas secondary school qualification,25-29 years,Female,,c
Area Outside Region,Not elsewhere included,25-29 years,Male,,c
Area Outside Region,Not elsewhere included,25-29 years,Female,,c
Northland Region,No qualification,30-34 years,Male,651,
Northland Region,No qualification,30-34 years,Female,495,
Northland Region,Level 1 certificate,30-34 years,Male,360,
Northland Region,Level 1 certificate,30-34 years,Female,390,
Northland Region,Level 2 certificate,30-34 years,Male,246,
Northland Region,Level 2 certificate,30-34 years,Female,369,
Northland Region,Level 3 certificate,30-34 years,Male,210,
Northland Region,Level 3 certificate,30-34 years,Female,393,
Northland Region,Level 4 certificate,30-34 years,Male,465,
Northland Region,Level 4 certificate,30-34 years,Female,222,
Northland Region,Level 5 or level 6 diploma,30-34 years,Male,156,
Northland Region,Level 5 or level 6 diploma,30-34 years,Female,300,
Northland Region,Bachelor degree and level 7 qualification,30-34 years,Male,279,
Northland Region,Bachelor degree and level 7 qualification,30-34 years,Female,639,
Northland Region,Post-graduate and honours degrees,30-34 years,Male,42,
Northland Region,Post-graduate and honours degrees,30-34 years,Female,108,
Northland Region,Masters degree,30-34 years,Male,36,
Northland Region,Masters degree,30-34 years,Female,63,
Northland Region,Doctorate degree,30-34 years,Male,3,
Northland Region,Doctorate degree,30-34 years,Female,0,
Northland Region,Overseas secondary school qualification,30-34 years,Male,117,
Northland Region,Overseas secondary school qualification,30-34 years,Female,141,
Northland Region,Not elsewhere included,30-34 years,Male,477,
Northland Region,Not elsewhere included,30-34 years,Female,423,
Auckland Region,No qualification,30-34 years,Male,4746,
Auckland Region,No qualification,30-34 years,Female,3831,
Auckland Region,Level 1 certificate,30-34 years,Male,2922,
Auckland Region,Level 1 certificate,30-34 years,Female,2751,
Auckland Region,Level 2 certificate,30-34 years,Male,2682,
Auckland Region,Level 2 certificate,30-34 years,Female,2985,
Auckland Region,Level 3 certificate,30-34 years,Male,4374,
Auckland Region,Level 3 certificate,30-34 years,Female,4740,
Auckland Region,Level 4 certificate,30-34 years,Male,4449,
Auckland Region,Level 4 certificate,30-34 years,Female,2109,
Auckland Region,Level 5 or level 6 diploma,30-34 years,Male,4071,
Auckland Region,Level 5 or level 6 diploma,30-34 years,Female,5136,
Auckland Region,Bachelor degree and level 7 qualification,30-34 years,Male,10071,
Auckland Region,Bachelor degree and level 7 qualification,30-34 years,Female,14430,
Auckland Region,Post-graduate and honours degrees,30-34 years,Male,1803,
Auckland Region,Post-graduate and honours degrees,30-34 years,Female,2901,
Auckland Region,Masters degree,30-34 years,Male,2307,
Auckland Region,Masters degree,30-34 years,Female,2847,
Auckland Region,Doctorate degree,30-34 years,Male,306,
Auckland Region,Doctorate degree,30-34 years,Female,321,
Auckland Region,Overseas secondary school qualification,30-34 years,Male,4143,
Auckland Region,Overseas secondary school qualification,30-34 years,Female,4767,
Auckland Region,Not elsewhere included,30-34 years,Male,4872,
Auckland Region,Not elsewhere included,30-34 years,Female,4974,
Waikato Region,No qualification,30-34 years,Male,1815,
Waikato Region,No qualification,30-34 years,Female,1434,
Waikato Region,Level 1 certificate,30-34 years,Male,1119,
Waikato Region,Level 1 certificate,30-34 years,Female,1134,
Waikato Region,Level 2 certificate,30-34 years,Male,801,
Waikato Region,Level 2 certificate,30-34 years,Female,1056,
Waikato Region,Level 3 certificate,30-34 years,Male,885,
Waikato Region,Level 3 certificate,30-34 years,Female,1296,
Waikato Region,Level 4 certificate,30-34 years,Male,1779,
Waikato Region,Level 4 certificate,30-34 years,Female,735,
Waikato Region,Level 5 or level 6 diploma,30-34 years,Male,666,
Waikato Region,Level 5 or level 6 diploma,30-34 years,Female,1053,
Waikato Region,Bachelor degree and level 7 qualification,30-34 years,Male,1533,
Waikato Region,Bachelor degree and level 7 qualification,30-34 years,Female,2751,
Waikato Region,Post-graduate and honours degrees,30-34 years,Male,273,
Waikato Region,Post-graduate and honours degrees,30-34 years,Female,492,
Waikato Region,Masters degree,30-34 years,Male,258,
Waikato Region,Masters degree,30-34 years,Female,381,
Waikato Region,Doctorate degree,30-34 years,Male,51,
Waikato Region,Doctorate degree,30-34 years,Female,54,
Waikato Region,Overseas secondary school qualification,30-34 years,Male,450,
Waikato Region,Overseas secondary school qualification,30-34 years,Female,588,
Waikato Region,Not elsewhere included,30-34 years,Male,1251,
Waikato Region,Not elsewhere included,30-34 years,Female,1026,
Bay of Plenty Region,No qualification,30-34 years,Male,999,
Bay of Plenty Region,No qualification,30-34 years,Female,843,
Bay of Plenty Region,Level 1 certificate,30-34 years,Male,630,
Bay of Plenty Region,Level 1 certificate,30-34 years,Female,702,
Bay of Plenty Region,Level 2 certificate,30-34 years,Male,468,
Bay of Plenty Region,Level 2 certificate,30-34 years,Female,621,
Bay of Plenty Region,Level 3 certificate,30-34 years,Male,546,
Bay of Plenty Region,Level 3 certificate,30-34 years,Female,783,
Bay of Plenty Region,Level 4 certificate,30-34 years,Male,981,
Bay of Plenty Region,Level 4 certificate,30-34 years,Female,540,
Bay of Plenty Region,Level 5 or level 6 diploma,30-34 years,Male,408,
Bay of Plenty Region,Level 5 or level 6 diploma,30-34 years,Female,747,
Bay of Plenty Region,Bachelor degree and level 7 qualification,30-34 years,Male,726,
Bay of Plenty Region,Bachelor degree and level 7 qualification,30-34 years,Female,1551,
Bay of Plenty Region,Post-graduate and honours degrees,30-34 years,Male,126,
Bay of Plenty Region,Post-graduate and honours degrees,30-34 years,Female,249,
Bay of Plenty Region,Masters degree,30-34 years,Male,102,
Bay of Plenty Region,Masters degree,30-34 years,Female,153,
Bay of Plenty Region,Doctorate degree,30-34 years,Male,18,
Bay of Plenty Region,Doctorate degree,30-34 years,Female,21,
Bay of Plenty Region,Overseas secondary school qualification,30-34 years,Male,333,
Bay of Plenty Region,Overseas secondary school qualification,30-34 years,Female,360,
Bay of Plenty Region,Not elsewhere included,30-34 years,Male,825,
Bay of Plenty Region,Not elsewhere included,30-34 years,Female,717,
Gisborne Region,No qualification,30-34 years,Male,228,
Gisborne Region,No qualification,30-34 years,Female,183,
Gisborne Region,Level 1 certificate,30-34 years,Male,105,
Gisborne Region,Level 1 certificate,30-34 years,Female,120,
Gisborne Region,Level 2 certificate,30-34 years,Male,78,
Gisborne Region,Level 2 certificate,30-34 years,Female,126,
Gisborne Region,Level 3 certificate,30-34 years,Male,90,
Gisborne Region,Level 3 certificate,30-34 years,Female,144,
Gisborne Region,Level 4 certificate,30-34 years,Male,132,
Gisborne Region,Level 4 certificate,30-34 years,Female,84,
Gisborne Region,Level 5 or level 6 diploma,30-34 years,Male,51,
Gisborne Region,Level 5 or level 6 diploma,30-34 years,Female,126,
Gisborne Region,Bachelor degree and level 7 qualification,30-34 years,Male,99,
Gisborne Region,Bachelor degree and level 7 qualification,30-34 years,Female,246,
Gisborne Region,Post-graduate and honours degrees,30-34 years,Male,18,
Gisborne Region,Post-graduate and honours degrees,30-34 years,Female,36,
Gisborne Region,Masters degree,30-34 years,Male,9,
Gisborne Region,Masters degree,30-34 years,Female,9,
Gisborne Region,Doctorate degree,30-34 years,Male,3,
Gisborne Region,Doctorate degree,30-34 years,Female,3,
Gisborne Region,Overseas secondary school qualification,30-34 years,Male,24,
Gisborne Region,Overseas secondary school qualification,30-34 years,Female,45,
Gisborne Region,Not elsewhere included,30-34 years,Male,180,
Gisborne Region,Not elsewhere included,30-34 years,Female,144,
Hawke's Bay Region,No qualification,30-34 years,Male,663,
Hawke's Bay Region,No qualification,30-34 years,Female,528,
Hawke's Bay Region,Level 1 certificate,30-34 years,Male,348,
Hawke's Bay Region,Level 1 certificate,30-34 years,Female,435,
Hawke's Bay Region,Level 2 certificate,30-34 years,Male,297,
Hawke's Bay Region,Level 2 certificate,30-34 years,Female,363,
Hawke's Bay Region,Level 3 certificate,30-34 years,Male,303,
Hawke's Bay Region,Level 3 certificate,30-34 years,Female,408,
Hawke's Bay Region,Level 4 certificate,30-34 years,Male,519,
Hawke's Bay Region,Level 4 certificate,30-34 years,Female,219,
Hawke's Bay Region,Level 5 or level 6 diploma,30-34 years,Male,213,
Hawke's Bay Region,Level 5 or level 6 diploma,30-34 years,Female,381,
Hawke's Bay Region,Bachelor degree and level 7 qualification,30-34 years,Male,426,
Hawke's Bay Region,Bachelor degree and level 7 qualification,30-34 years,Female,843,
Hawke's Bay Region,Post-graduate and honours degrees,30-34 years,Male,48,
Hawke's Bay Region,Post-graduate and honours degrees,30-34 years,Female,132,
Hawke's Bay Region,Masters degree,30-34 years,Male,39,
Hawke's Bay Region,Masters degree,30-34 years,Female,69,
Hawke's Bay Region,Doctorate degree,30-34 years,Male,6,
Hawke's Bay Region,Doctorate degree,30-34 years,Female,9,
Hawke's Bay Region,Overseas secondary school qualification,30-34 years,Male,159,
Hawke's Bay Region,Overseas secondary school qualification,30-34 years,Female,174,
Hawke's Bay Region,Not elsewhere included,30-34 years,Male,459,
Hawke's Bay Region,Not elsewhere included,30-34 years,Female,357,
Taranaki Region,No qualification,30-34 years,Male,492,
Taranaki Region,No qualification,30-34 years,Female,396,
Taranaki Region,Level 1 certificate,30-34 years,Male,369,
Taranaki Region,Level 1 certificate,30-34 years,Female,375,
Taranaki Region,Level 2 certificate,30-34 years,Male,267,
Taranaki Region,Level 2 certificate,30-34 years,Female,315,
Taranaki Region,Level 3 certificate,30-34 years,Male,237,
Taranaki Region,Level 3 certificate,30-34 years,Female,363,
Taranaki Region,Level 4 certificate,30-34 years,Male,588,
Taranaki Region,Level 4 certificate,30-34 years,Female,210,
Taranaki Region,Level 5 or level 6 diploma,30-34 years,Male,147,
Taranaki Region,Level 5 or level 6 diploma,30-34 years,Female,297,
Taranaki Region,Bachelor degree and level 7 qualification,30-34 years,Male,342,
Taranaki Region,Bachelor degree and level 7 qualification,30-34 years,Female,612,
Taranaki Region,Post-graduate and honours degrees,30-34 years,Male,48,
Taranaki Region,Post-graduate and honours degrees,30-34 years,Female,123,
Taranaki Region,Masters degree,30-34 years,Male,45,
Taranaki Region,Masters degree,30-34 years,Female,54,
Taranaki Region,Doctorate degree,30-34 years,Male,9,
Taranaki Region,Doctorate degree,30-34 years,Female,6,
Taranaki Region,Overseas secondary school qualification,30-34 years,Male,114,
Taranaki Region,Overseas secondary school qualification,30-34 years,Female,117,
Taranaki Region,Not elsewhere included,30-34 years,Male,327,
Taranaki Region,Not elsewhere included,30-34 years,Female,255,
Manawatu-Wanganui Region,No qualification,30-34 years,Male,996,
Manawatu-Wanganui Region,No qualification,30-34 years,Female,819,
Manawatu-Wanganui Region,Level 1 certificate,30-34 years,Male,636,
Manawatu-Wanganui Region,Level 1 certificate,30-34 years,Female,690,
Manawatu-Wanganui Region,Level 2 certificate,30-34 years,Male,513,
Manawatu-Wanganui Region,Level 2 certificate,30-34 years,Female,549,
Manawatu-Wanganui Region,Level 3 certificate,30-34 years,Male,546,
Manawatu-Wanganui Region,Level 3 certificate,30-34 years,Female,756,
Manawatu-Wanganui Region,Level 4 certificate,30-34 years,Male,819,
Manawatu-Wanganui Region,Level 4 certificate,30-34 years,Female,339,
Manawatu-Wanganui Region,Level 5 or level 6 diploma,30-34 years,Male,318,
Manawatu-Wanganui Region,Level 5 or level 6 diploma,30-34 years,Female,513,
Manawatu-Wanganui Region,Bachelor degree and level 7 qualification,30-34 years,Male,606,
Manawatu-Wanganui Region,Bachelor degree and level 7 qualification,30-34 years,Female,1212,
Manawatu-Wanganui Region,Post-graduate and honours degrees,30-34 years,Male,117,
Manawatu-Wanganui Region,Post-graduate and honours degrees,30-34 years,Female,243,
Manawatu-Wanganui Region,Masters degree,30-34 years,Male,114,
Manawatu-Wanganui Region,Masters degree,30-34 years,Female,183,
Manawatu-Wanganui Region,Doctorate degree,30-34 years,Male,51,
Manawatu-Wanganui Region,Doctorate degree,30-34 years,Female,78,
Manawatu-Wanganui Region,Overseas secondary school qualification,30-34 years,Male,177,
Manawatu-Wanganui Region,Overseas secondary school qualification,30-34 years,Female,216,
Manawatu-Wanganui Region,Not elsewhere included,30-34 years,Male,597,
Manawatu-Wanganui Region,Not elsewhere included,30-34 years,Female,543,
Wellington Region,No qualification,30-34 years,Male,1380,
Wellington Region,No qualification,30-34 years,Female,1113,
Wellington Region,Level 1 certificate,30-34 years,Male,990,
Wellington Region,Level 1 certificate,30-34 years,Female,1035,
Wellington Region,Level 2 certificate,30-34 years,Male,936,
Wellington Region,Level 2 certificate,30-34 years,Female,1026,
Wellington Region,Level 3 certificate,30-34 years,Male,1425,
Wellington Region,Level 3 certificate,30-34 years,Female,1566,
Wellington Region,Level 4 certificate,30-34 years,Male,1662,
Wellington Region,Level 4 certificate,30-34 years,Female,717,
Wellington Region,Level 5 or level 6 diploma,30-34 years,Male,1131,
Wellington Region,Level 5 or level 6 diploma,30-34 years,Female,1404,
Wellington Region,Bachelor degree and level 7 qualification,30-34 years,Male,3393,
Wellington Region,Bachelor degree and level 7 qualification,30-34 years,Female,4740,
Wellington Region,Post-graduate and honours degrees,30-34 years,Male,852,
Wellington Region,Post-graduate and honours degrees,30-34 years,Female,1338,
Wellington Region,Masters degree,30-34 years,Male,810,
Wellington Region,Masters degree,30-34 years,Female,1083,
Wellington Region,Doctorate degree,30-34 years,Male,162,
Wellington Region,Doctorate degree,30-34 years,Female,171,
Wellington Region,Overseas secondary school qualification,30-34 years,Male,834,
Wellington Region,Overseas secondary school qualification,30-34 years,Female,834,
Wellington Region,Not elsewhere included,30-34 years,Male,1287,
Wellington Region,Not elsewhere included,30-34 years,Female,1197,
Tasman Region,No qualification,30-34 years,Male,165,
Tasman Region,No qualification,30-34 years,Female,123,
Tasman Region,Level 1 certificate,30-34 years,Male,99,
Tasman Region,Level 1 certificate,30-34 years,Female,105,
Tasman Region,Level 2 certificate,30-34 years,Male,84,
Tasman Region,Level 2 certificate,30-34 years,Female,114,
Tasman Region,Level 3 certificate,30-34 years,Male,93,
Tasman Region,Level 3 certificate,30-34 years,Female,138,
Tasman Region,Level 4 certificate,30-34 years,Male,177,
Tasman Region,Level 4 certificate,30-34 years,Female,81,
Tasman Region,Level 5 or level 6 diploma,30-34 years,Male,51,
Tasman Region,Level 5 or level 6 diploma,30-34 years,Female,141,
Tasman Region,Bachelor degree and level 7 qualification,30-34 years,Male,108,
Tasman Region,Bachelor degree and level 7 qualification,30-34 years,Female,207,
Tasman Region,Post-graduate and honours degrees,30-34 years,Male,24,
Tasman Region,Post-graduate and honours degrees,30-34 years,Female,33,
Tasman Region,Masters degree,30-34 years,Male,12,
Tasman Region,Masters degree,30-34 years,Female,27,
Tasman Region,Doctorate degree,30-34 years,Male,3,
Tasman Region,Doctorate degree,30-34 years,Female,0,
Tasman Region,Overseas secondary school qualification,30-34 years,Male,42,
Tasman Region,Overseas secondary school qualification,30-34 years,Female,60,
Tasman Region,Not elsewhere included,30-34 years,Male,90,
Tasman Region,Not elsewhere included,30-34 years,Female,72,
Nelson Region,No qualification,30-34 years,Male,192,
Nelson Region,No qualification,30-34 years,Female,156,
Nelson Region,Level 1 certificate,30-34 years,Male,90,
Nelson Region,Level 1 certificate,30-34 years,Female,93,
Nelson Region,Level 2 certificate,30-34 years,Male,96,
Nelson Region,Level 2 certificate,30-34 years,Female,105,
Nelson Region,Level 3 certificate,30-34 years,Male,120,
Nelson Region,Level 3 certificate,30-34 years,Female,141,
Nelson Region,Level 4 certificate,30-34 years,Male,177,
Nelson Region,Level 4 certificate,30-34 years,Female,84,
Nelson Region,Level 5 or level 6 diploma,30-34 years,Male,96,
Nelson Region,Level 5 or level 6 diploma,30-34 years,Female,144,
Nelson Region,Bachelor degree and level 7 qualification,30-34 years,Male,153,
Nelson Region,Bachelor degree and level 7 qualification,30-34 years,Female,276,
Nelson Region,Post-graduate and honours degrees,30-34 years,Male,39,
Nelson Region,Post-graduate and honours degrees,30-34 years,Female,75,
Nelson Region,Masters degree,30-34 years,Male,21,
Nelson Region,Masters degree,30-34 years,Female,42,
Nelson Region,Doctorate degree,30-34 years,Male,6,
Nelson Region,Doctorate degree,30-34 years,Female,6,
Nelson Region,Overseas secondary school qualification,30-34 years,Male,39,
Nelson Region,Overseas secondary school qualification,30-34 years,Female,75,
Nelson Region,Not elsewhere included,30-34 years,Male,126,
Nelson Region,Not elsewhere included,30-34 years,Female,93,
Marlborough Region,No qualification,30-34 years,Male,183,
Marlborough Region,No qualification,30-34 years,Female,138,
Marlborough Region,Level 1 certificate,30-34 years,Male,105,
Marlborough Region,Level 1 certificate,30-34 years,Female,138,
Marlborough Region,Level 2 certificate,30-34 years,Male,90,
Marlborough Region,Level 2 certificate,30-34 years,Female,108,
Marlborough Region,Level 3 certificate,30-34 years,Male,99,
Marlborough Region,Level 3 certificate,30-34 years,Female,129,
Marlborough Region,Level 4 certificate,30-34 years,Male,183,
Marlborough Region,Level 4 certificate,30-34 years,Female,84,
Marlborough Region,Level 5 or level 6 diploma,30-34 years,Male,78,
Marlborough Region,Level 5 or level 6 diploma,30-34 years,Female,123,
Marlborough Region,Bachelor degree and level 7 qualification,30-34 years,Male,111,
Marlborough Region,Bachelor degree and level 7 qualification,30-34 years,Female,258,
Marlborough Region,Post-graduate and honours degrees,30-34 years,Male,21,
Marlborough Region,Post-graduate and honours degrees,30-34 years,Female,36,
Marlborough Region,Masters degree,30-34 years,Male,15,
Marlborough Region,Masters degree,30-34 years,Female,24,
Marlborough Region,Doctorate degree,30-34 years,Male,0,
Marlborough Region,Doctorate degree,30-34 years,Female,0,
Marlborough Region,Overseas secondary school qualification,30-34 years,Male,39,
Marlborough Region,Overseas secondary school qualification,30-34 years,Female,72,
Marlborough Region,Not elsewhere included,30-34 years,Male,99,
Marlborough Region,Not elsewhere included,30-34 years,Female,87,
West Coast Region,No qualification,30-34 years,Male,162,
West Coast Region,No qualification,30-34 years,Female,135,
West Coast Region,Level 1 certificate,30-34 years,Male,78,
West Coast Region,Level 1 certificate,30-34 years,Female,105,
West Coast Region,Level 2 certificate,30-34 years,Male,84,
West Coast Region,Level 2 certificate,30-34 years,Female,90,
West Coast Region,Level 3 certificate,30-34 years,Male,51,
West Coast Region,Level 3 certificate,30-34 years,Female,87,
West Coast Region,Level 4 certificate,30-34 years,Male,141,
West Coast Region,Level 4 certificate,30-34 years,Female,60,
West Coast Region,Level 5 or level 6 diploma,30-34 years,Male,36,
West Coast Region,Level 5 or level 6 diploma,30-34 years,Female,87,
West Coast Region,Bachelor degree and level 7 qualification,30-34 years,Male,66,
West Coast Region,Bachelor degree and level 7 qualification,30-34 years,Female,147,
West Coast Region,Post-graduate and honours degrees,30-34 years,Male,9,
West Coast Region,Post-graduate and honours degrees,30-34 years,Female,24,
West Coast Region,Masters degree,30-34 years,Male,12,
West Coast Region,Masters degree,30-34 years,Female,24,
West Coast Region,Doctorate degree,30-34 years,Male,0,
West Coast Region,Doctorate degree,30-34 years,Female,3,
West Coast Region,Overseas secondary school qualification,30-34 years,Male,21,
West Coast Region,Overseas secondary school qualification,30-34 years,Female,51,
West Coast Region,Not elsewhere included,30-34 years,Male,81,
West Coast Region,Not elsewhere included,30-34 years,Female,84,
Canterbury Region,No qualification,30-34 years,Male,2073,
Canterbury Region,No qualification,30-34 years,Female,1563,
Canterbury Region,Level 1 certificate,30-34 years,Male,1341,
Canterbury Region,Level 1 certificate,30-34 years,Female,1311,
Canterbury Region,Level 2 certificate,30-34 years,Male,1203,
Canterbury Region,Level 2 certificate,30-34 years,Female,1356,
Canterbury Region,Level 3 certificate,30-34 years,Male,1386,
Canterbury Region,Level 3 certificate,30-34 years,Female,1617,
Canterbury Region,Level 4 certificate,30-34 years,Male,2289,
Canterbury Region,Level 4 certificate,30-34 years,Female,819,
Canterbury Region,Level 5 or level 6 diploma,30-34 years,Male,1245,
Canterbury Region,Level 5 or level 6 diploma,30-34 years,Female,1767,
Canterbury Region,Bachelor degree and level 7 qualification,30-34 years,Male,2379,
Canterbury Region,Bachelor degree and level 7 qualification,30-34 years,Female,3891,
Canterbury Region,Post-graduate and honours degrees,30-34 years,Male,528,
Canterbury Region,Post-graduate and honours degrees,30-34 years,Female,867,
Canterbury Region,Masters degree,30-34 years,Male,474,
Canterbury Region,Masters degree,30-34 years,Female,612,
Canterbury Region,Doctorate degree,30-34 years,Male,105,
Canterbury Region,Doctorate degree,30-34 years,Female,117,
Canterbury Region,Overseas secondary school qualification,30-34 years,Male,864,
Canterbury Region,Overseas secondary school qualification,30-34 years,Female,915,
Canterbury Region,Not elsewhere included,30-34 years,Male,1338,
Canterbury Region,Not elsewhere included,30-34 years,Female,1149,
Otago Region,No qualification,30-34 years,Male,624,
Otago Region,No qualification,30-34 years,Female,447,
Otago Region,Level 1 certificate,30-34 years,Male,489,
Otago Region,Level 1 certificate,30-34 years,Female,471,
Otago Region,Level 2 certificate,30-34 years,Male,405,
Otago Region,Level 2 certificate,30-34 years,Female,453,
Otago Region,Level 3 certificate,30-34 years,Male,549,
Otago Region,Level 3 certificate,30-34 years,Female,597,
Otago Region,Level 4 certificate,30-34 years,Male,861,
Otago Region,Level 4 certificate,30-34 years,Female,369,
Otago Region,Level 5 or level 6 diploma,30-34 years,Male,381,
Otago Region,Level 5 or level 6 diploma,30-34 years,Female,510,
Otago Region,Bachelor degree and level 7 qualification,30-34 years,Male,888,
Otago Region,Bachelor degree and level 7 qualification,30-34 years,Female,1572,
Otago Region,Post-graduate and honours degrees,30-34 years,Male,210,
Otago Region,Post-graduate and honours degrees,30-34 years,Female,423,
Otago Region,Masters degree,30-34 years,Male,186,
Otago Region,Masters degree,30-34 years,Female,282,
Otago Region,Doctorate degree,30-34 years,Male,90,
Otago Region,Doctorate degree,30-34 years,Female,87,
Otago Region,Overseas secondary school qualification,30-34 years,Male,354,
Otago Region,Overseas secondary school qualification,30-34 years,Female,390,
Otago Region,Not elsewhere included,30-34 years,Male,525,
Otago Region,Not elsewhere included,30-34 years,Female,438,
Southland Region,No qualification,30-34 years,Male,480,
Southland Region,No qualification,30-34 years,Female,381,
Southland Region,Level 1 certificate,30-34 years,Male,375,
Southland Region,Level 1 certificate,30-34 years,Female,348,
Southland Region,Level 2 certificate,30-34 years,Male,240,
Southland Region,Level 2 certificate,30-34 years,Female,306,
Southland Region,Level 3 certificate,30-34 years,Male,225,
Southland Region,Level 3 certificate,30-34 years,Female,264,
Southland Region,Level 4 certificate,30-34 years,Male,411,
Southland Region,Level 4 certificate,30-34 years,Female,156,
Southland Region,Level 5 or level 6 diploma,30-34 years,Male,153,
Southland Region,Level 5 or level 6 diploma,30-34 years,Female,258,
Southland Region,Bachelor degree and level 7 qualification,30-34 years,Male,249,
Southland Region,Bachelor degree and level 7 qualification,30-34 years,Female,681,
Southland Region,Post-graduate and honours degrees,30-34 years,Male,51,
Southland Region,Post-graduate and honours degrees,30-34 years,Female,105,
Southland Region,Masters degree,30-34 years,Male,18,
Southland Region,Masters degree,30-34 years,Female,33,
Southland Region,Doctorate degree,30-34 years,Male,6,
Southland Region,Doctorate degree,30-34 years,Female,6,
Southland Region,Overseas secondary school qualification,30-34 years,Male,111,
Southland Region,Overseas secondary school qualification,30-34 years,Female,132,
Southland Region,Not elsewhere included,30-34 years,Male,213,
Southland Region,Not elsewhere included,30-34 years,Female,183,
Area Outside Region,No qualification,30-34 years,Male,,c
Area Outside Region,No qualification,30-34 years,Female,,c
Area Outside Region,Level 1 certificate,30-34 years,Male,,c
Area Outside Region,Level 1 certificate,30-34 years,Female,,c
Area Outside Region,Level 2 certificate,30-34 years,Male,,c
Area Outside Region,Level 2 certificate,30-34 years,Female,,c
Area Outside Region,Level 3 certificate,30-34 years,Male,,c
Area Outside Region,Level 3 certificate,30-34 years,Female,,c
Area Outside Region,Level 4 certificate,30-34 years,Male,,c
Area Outside Region,Level 4 certificate,30-34 years,Female,,c
Area Outside Region,Level 5 or level 6 diploma,30-34 years,Male,,c
Area Outside Region,Level 5 or level 6 diploma,30-34 years,Female,,c
Area Outside Region,Bachelor degree and level 7 qualification,30-34 years,Male,,c
Area Outside Region,Bachelor degree and level 7 qualification,30-34 years,Female,,c
Area Outside Region,Post-graduate and honours degrees,30-34 years,Male,,c
Area Outside Region,Post-graduate and honours degrees,30-34 years,Female,,c
Area Outside Region,Masters degree,30-34 years,Male,,c
Area Outside Region,Masters degree,30-34 years,Female,,c
Area Outside Region,Doctorate degree,30-34 years,Male,,c
Area Outside Region,Doctorate degree,30-34 years,Female,,c
Area Outside Region,Overseas secondary school qualification,30-34 years,Male,,c
Area Outside Region,Overseas secondary school qualification,30-34 years,Female,,c
Area Outside Region,Not elsewhere included,30-34 years,Male,,c
Area Outside Region,Not elsewhere included,30-34 years,Female,,c
Northland Region,No qualification,35-39 years,Male,696,
Northland Region,No qualification,35-39 years,Female,552,
Northland Region,Level 1 certificate,35-39 years,Male,435,
Northland Region,Level 1 certificate,35-39 years,Female,495,
Northland Region,Level 2 certificate,35-39 years,Male,354,
Northland Region,Level 2 certificate,35-39 years,Female,531,
Northland Region,Level 3 certificate,35-39 years,Male,276,
Northland Region,Level 3 certificate,35-39 years,Female,429,
Northland Region,Level 4 certificate,35-39 years,Male,567,
Northland Region,Level 4 certificate,35-39 years,Female,252,
Northland Region,Level 5 or level 6 diploma,35-39 years,Male,213,
Northland Region,Level 5 or level 6 diploma,35-39 years,Female,411,
Northland Region,Bachelor degree and level 7 qualification,35-39 years,Male,330,
Northland Region,Bachelor degree and level 7 qualification,35-39 years,Female,756,
Northland Region,Post-graduate and honours degrees,35-39 years,Male,45,
Northland Region,Post-graduate and honours degrees,35-39 years,Female,171,
Northland Region,Masters degree,35-39 years,Male,48,
Northland Region,Masters degree,35-39 years,Female,78,
Northland Region,Doctorate degree,35-39 years,Male,9,
Northland Region,Doctorate degree,35-39 years,Female,6,
Northland Region,Overseas secondary school qualification,35-39 years,Male,123,
Northland Region,Overseas secondary school qualification,35-39 years,Female,165,
Northland Region,Not elsewhere included,35-39 years,Male,486,
Northland Region,Not elsewhere included,35-39 years,Female,474,
Auckland Region,No qualification,35-39 years,Male,4371,
Auckland Region,No qualification,35-39 years,Female,3867,
Auckland Region,Level 1 certificate,35-39 years,Male,2961,
Auckland Region,Level 1 certificate,35-39 years,Female,3225,
Auckland Region,Level 2 certificate,35-39 years,Male,3225,
Auckland Region,Level 2 certificate,35-39 years,Female,3927,
Auckland Region,Level 3 certificate,35-39 years,Male,3906,
Auckland Region,Level 3 certificate,35-39 years,Female,4326,
Auckland Region,Level 4 certificate,35-39 years,Male,4632,
Auckland Region,Level 4 certificate,35-39 years,Female,2283,
Auckland Region,Level 5 or level 6 diploma,35-39 years,Male,3585,
Auckland Region,Level 5 or level 6 diploma,35-39 years,Female,5058,
Auckland Region,Bachelor degree and level 7 qualification,35-39 years,Male,9012,
Auckland Region,Bachelor degree and level 7 qualification,35-39 years,Female,12660,
Auckland Region,Post-graduate and honours degrees,35-39 years,Male,1737,
Auckland Region,Post-graduate and honours degrees,35-39 years,Female,2796,
Auckland Region,Masters degree,35-39 years,Male,2307,
Auckland Region,Masters degree,35-39 years,Female,2589,
Auckland Region,Doctorate degree,35-39 years,Male,402,
Auckland Region,Doctorate degree,35-39 years,Female,411,
Auckland Region,Overseas secondary school qualification,35-39 years,Male,4239,
Auckland Region,Overseas secondary school qualification,35-39 years,Female,5214,
Auckland Region,Not elsewhere included,35-39 years,Male,4497,
