Area,Highest qualification,Age group,Sex,Value,Flags
Bay of Plenty Region,Overseas secondary school qualification,15-19 years,Male,129,
Bay of Plenty Region,Overseas secondary school qualification,15-19 years,Female,87,
Bay of Plenty Region,Not elsewhere included,15-19 years,Male,1230,
Bay of Plenty Region,Not elsewhere included,15-19 years,Female,1110,
Gisborne Region,No qualification,15-19 years,Male,423,
Gisborne Region,No qualification,15-19 years,Female,342,
Gisborne Region,Level 1 certificate,15-19 years,Male,360,
Gisborne Region,Level 1 certificate,15-19 years,Female,378,
Gisborne Region,Level 2 certificate,15-19 years,Male,345,
Gisborne Region,Level 2 certificate,15-19 years,Female,333,
Gisborne Region,Level 3 certificate,15-19 years,Male,147,
Gisborne Region,Level 3 certificate,15-19 years,Female,162,
Gisborne Region,Level 4 certificate,15-19 years,Male,27,
Gisborne Region,Level 4 certificate,15-19 years,Female,24,
Gisborne Region,Level 5 or level 6 diploma,15-19 years,Male,6,
Gisborne Region,Level 5 or level 6 diploma,15-19 years,Female,15,
Gisborne Region,Bachelor degree and level 7 qualification,15-19 years,Male,0,
Gisborne Region,Bachelor degree and level 7 qualification,15-19 years,Female,0,
Gisborne Region,Post-graduate and honours degrees,15-19 years,Male,0,
Gisborne Region,Post-graduate and honours degrees,15-19 years,Female,0,
Gisborne Region,Masters degree,15-19 years,Male,0,
Gisborne Region,Masters degree,15-19 years,Female,0,
Gisborne Region,Doctorate degree,15-19 years,Male,0,
Gisborne Region,Doctorate degree,15-19 years,Female,0,
Gisborne Region,Overseas secondary school qualification,15-19 years,Male,0,
Gisborne Region,Overseas secondary school qualification,15-19 years,Female,9,
Gisborne Region,Not elsewhere included,15-19 years,Male,258,
Gisborne Region,Not elsewhere included,15-19 years,Female,222,
Hawke's Bay Region,No qualification,15-19 years,Male,1380,
Hawke's Bay Region,No qualification,15-19 years,Female,1194,
Hawke's Bay Region,Level 1 certificate,15-19 years,Male,1269,
Hawke's Bay Region,Level 1 certificate,15-19 years,Female,1200,
Hawke's Bay Region,Level 2 certificate,15-19 years,Male,1236,
Hawke's Bay Region,Level 2 certificate,15-19 years,Female,1104,
Hawke's Bay Region,Level 3 certificate,15-19 years,Male,474,
Hawke's Bay Region,Level 3 certificate,15-19 years,Female,576,
Hawke's Bay Region,Level 4 certificate,15-19 years,Male,126,
Hawke's Bay Region,Level 4 certificate,15-19 years,Female,51,
Hawke's Bay Region,Level 5 or level 6 diploma,15-19 years,Male,30,
Hawke's Bay Region,Level 5 or level 6 diploma,15-19 years,Female,45,
Hawke's Bay Region,Bachelor degree and level 7 qualification,15-19 years,Male,0,
Hawke's Bay Region,Bachelor degree and level 7 qualification,15-19 years,Female,3,
Hawke's Bay Region,Post-graduate and honours degrees,15-19 years,Male,3,
Hawke's Bay Region,Post-graduate and honours degrees,15-19 years,Female,3,
Hawke's Bay Region,Masters degree,15-19 years,Male,3,
Hawke's Bay Region,Masters degree,15-19 years,Female,0,
Hawke's Bay Region,Doctorate degree,15-19 years,Male,0,
Hawke's Bay Region,Doctorate degree,15-19 years,Female,0,
Hawke's Bay Region,Overseas secondary school qualification,15-19 years,Male,51,
Hawke's Bay Region,Overseas secondary school qualification,15-19 years,Female,30,
Hawke's Bay Region,Not elsewhere included,15-19 years,Male,684,
Hawke's Bay Region,Not elsewhere included,15-19 years,Female,621,
Taranaki Region,No qualification,15-19 years,Male,1020,
Taranaki Region,No qualification,15-19 years,Female,816,
Taranaki Region,Level 1 certificate,15-19 years,Male,882,
Taranaki Region,Level 1 certificate,15-19 years,Female,810,
Taranaki Region,Level 2 certificate,15-19 years,Male,870,
Taranaki Region,Level 2 certificate,15-19 years,Female,834,
Taranaki Region,Level 3 certificate,15-19 years,Male,294,
Taranaki Region,Level 3 certificate,15-19 years,Female,426,
Taranaki Region,Level 4 certificate,15-19 years,Male,57,
Taranaki Region,Level 4 certificate,15-19 years,Female,27,
Taranaki Region,Level 5 or level 6 diploma,15-19 years,Male,15,
Taranaki Region,Level 5 or level 6 diploma,15-19 years,Female,30,
Taranaki Region,Bachelor degree and level 7 qualification,15-19 years,Male,3,
